Schema,Category,Need
Maslow 1943,Physiological,Hydration
Maslow 1943,Physiological,Salt
Maslow 1943,Physiological,Sugar
Maslow 1943,Physiological,Protein
Maslow 1943,Physiological,Fat
Maslow 1943,Physiological,Calcium
Maslow 1943,Physiological,Oxygen
Maslow 1943,Physiological,Ph Balance
Maslow 1943,Physiological,Body Temp
Maslow 1943,Safety,Job with Tenure
Maslow 1943,Safety,Savings Account
Maslow 1943,Safety,Insurance
Maslow 1943,Safety,Physical Safety
Maslow 1943,Love,Giving Affection
Maslow 1943,Love,Receiving Affection
Maslow 1943,Love,Belonging
Maslow 1943,Love,Friendship
Maslow 1943,Self-Esteem,Strength
Maslow 1943,Self-Esteem,Acheivement
Maslow 1943,Self-Esteem,Adequacy 
Maslow 1943,Self-Esteem,Confidence
Maslow 1943,Self-Esteem,Independence
Maslow 1943,Self-Esteem,Freedom
Maslow 1943,Self-Esteem,Reputation
Maslow 1943,Self-Esteem,Prestige
Maslow 1943,Self-Esteem,Recognition
Maslow 1943,Self-Esteem,Attention
Maslow 1943,Self-Esteem,Importance
Maslow 1943,Self-Esteem,Appreciation
Maslow 1943,Self-Actualization,Creativity
Maslow 1943,Self-Actualization,Actualization
Maslow 1943 - Reduced,Physiological,Hydration
Maslow 1943 - Reduced,Physiological,Carbs
Maslow 1943 - Reduced,Physiological,Protein
Maslow 1943 - Reduced,Physiological,Fat
Maslow 1943 - Reduced,Safety,Job with Tenure
Maslow 1943 - Reduced,Safety,Savings Account
Maslow 1943 - Reduced,Safety,Insurance
Maslow 1943 - Reduced,Safety,Physical Safety
Maslow 1943 - Reduced,Love,Giving Affection
Maslow 1943 - Reduced,Love,Receiving Affection
Maslow 1943 - Reduced,Love,Belonging
Maslow 1943 - Reduced,Love,Friendship
Maslow 1943 - Reduced,Self-Esteem,Acheivement
Maslow 1943 - Reduced,Self-Esteem,Confidence
Maslow 1943 - Reduced,Self-Esteem,Freedom
Maslow 1943 - Reduced,Self-Esteem,Reputation / Prestige
Maslow 1943 - Reduced,Self-Esteem,Attention
Maslow 1943 - Reduced,Self-Actualization,Creativity
Maslow 1943 - Reduced,Self-Actualization,Actualization
Love Languages,Love,Words of Affirmation
Love Languages,Love,Acts of Service
Love Languages,Love,Gifts
Love Languages,Love,Quality Time
Love Languages,Love,Physical Touch
Seligman's PERMA,Positive Psych,Positive Emotion
Seligman's PERMA,Positive Psych,Engagement
Seligman's PERMA,Positive Psych,Relationships
Seligman's PERMA,Positive Psych,Meaning
Seligman's PERMA,Positive Psych,Achievement
Doyal and Gough,Autonomy,Freedom of Agency
Doyal and Gough,Autonomy,Political Freedom
Doyal and Gough,Physical Health,Physical Health
Doyal and Gough,Intermediate Needs,Food and Water
Doyal and Gough,Intermediate Needs,Safe Housing
Doyal and Gough,Intermediate Needs,Safe Work Environment
Doyal and Gough,Intermediate Needs,Safe Physical Environment
Doyal and Gough,Intermediate Needs,Health Care
Doyal and Gough,Intermediate Needs,Childhood Security
Doyal and Gough,Intermediate Needs,Primary Relationships
Doyal and Gough,Intermediate Needs,Physical Security
Doyal and Gough,Intermediate Needs,Economic Security
Doyal and Gough,Intermediate Needs,Birth control
Doyal and Gough,Intermediate Needs,Education
